,Year,Value,Source,Unit
83,1981,1.0520108938217163,ROMS + GLORYS,Cold Pool Index
84,1982,1.031136393547058,ROMS + GLORYS,Cold Pool Index
85,1983,0.07774030417203903,ROMS + GLORYS,Cold Pool Index
86,1984,1.5703517198562622,ROMS + GLORYS,Cold Pool Index
87,1985,-0.1859774887561798,ROMS + GLORYS,Cold Pool Index
88,1986,-1.2437148094177246,ROMS + GLORYS,Cold Pool Index
89,1987,0.8578233122825623,ROMS + GLORYS,Cold Pool Index
90,1988,0.906834065914154,ROMS + GLORYS,Cold Pool Index
91,1989,0.3954739570617676,ROMS + GLORYS,Cold Pool Index
92,1990,-0.7911052107810974,ROMS + GLORYS,Cold Pool Index
93,1991,-0.2649984061717987,ROMS + GLORYS,Cold Pool Index
94,1992,0.0712817907333374,ROMS + GLORYS,Cold Pool Index
95,1993,0.6794572472572327,ROMS + GLORYS,Cold Pool Index
96,1994,0.4388284683227539,ROMS + GLORYS,Cold Pool Index
97,1995,-0.3023453950881958,ROMS + GLORYS,Cold Pool Index
98,1996,1.282731294631958,ROMS + GLORYS,Cold Pool Index
99,1997,0.1577557772397995,ROMS + GLORYS,Cold Pool Index
100,1998,0.6910510063171387,ROMS + GLORYS,Cold Pool Index
101,1999,-1.68934965133667,ROMS + GLORYS,Cold Pool Index
102,2000,-1.0551879405975342,ROMS + GLORYS,Cold Pool Index
103,2001,-0.6947265267372131,ROMS + GLORYS,Cold Pool Index
104,2002,-0.6412716507911682,ROMS + GLORYS,Cold Pool Index
105,2003,0.2484429031610489,ROMS + GLORYS,Cold Pool Index
106,2004,2.38061261177063,ROMS + GLORYS,Cold Pool Index
107,2005,0.203912153840065,ROMS + GLORYS,Cold Pool Index
108,2006,-1.5504859685897827,ROMS + GLORYS,Cold Pool Index
109,2007,1.394850730895996,ROMS + GLORYS,Cold Pool Index
110,2008,-0.2076011598110199,ROMS + GLORYS,Cold Pool Index
111,2009,-0.07104463875293732,ROMS + GLORYS,Cold Pool Index
112,2010,0.3221656382083893,ROMS + GLORYS,Cold Pool Index
113,2011,-0.2074245810508728,ROMS + GLORYS,Cold Pool Index
114,2012,-1.8877599239349365,ROMS + GLORYS,Cold Pool Index
115,2013,-1.2039886713027954,ROMS + GLORYS,Cold Pool Index
116,2014,-2.159358263015747,ROMS + GLORYS,Cold Pool Index
117,2015,-2.249279260635376,ROMS + GLORYS,Cold Pool Index
118,2016,-1.5414695739746094,ROMS + GLORYS,Cold Pool Index
119,2017,0.1482100933790207,ROMS + GLORYS,Cold Pool Index
120,2018,0.19728048145771027,ROMS + GLORYS,Cold Pool Index
121,2019,-0.8528544902801514,ROMS + GLORYS,Cold Pool Index
122,2020,-1.7235370874404907,ROMS + GLORYS,Cold Pool Index
